rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notEmpty(inventory_id);notNull(src_filename);notNull(geocode_1_10);notNull(geocode_11_20),"padConcat({inventory_id, src_filename, geocode_1_10, geocode_11_20, ''}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID. Geocode_1_10 and geocode_11_20 are the original geocode string split into the first ten and second ten characters. Commas are replcaed with periods for use in the cas_id.,TRUE
2,INVENTORY_ID,text,notEmpty(inventory_id),copyText(inventory_id),Copies source value,TRUE
3,ORIG_STAND_ID,text,notNull(geocode),copyText(geocode),Copies source value to ORIG_STAND_ID,TRUE
4,STAND_STRUCTURE,text,"notNull(cl_age|NOT_APPLICABLE);notEmpty(cl_age);matchTable(cl_age, 'translation', 'qc_standstructure_lookup',TRUE,TRUE)","lookupText(cl_age, 'translation', 'qc_standstructure_lookup', 'stand_structure')",Stand structure is based on the cl_age code and is copied form the lookup table,TRUE
5,NUM_OF_LAYERS,integer,"qc_hasCountOfNotNull(cl_age, co_ter, 1, FALSE|-8886)","qc_countOfNotNull(cl_age, co_ter, 3)","Uses the qc_standstructure_lookup table to find number of lyr layers, then tests to see if nfl is present and counts the total number of layers. Max number of layers is 3.",TRUE
6,MAP_SHEET_ID,text,false(),nothingText(),stand structure is based on the cl_age code and is copied form the lookup table,TRUE
7,CASFRI_AREA,double precision,"geoIsValid(wkb_geometry, TRUE)",geoArea(wkb_geometry),Validates geometry then calculates area,TRUE
8,CASFRI_PERIMETER,double precision,"geoIsValid(wkb_geometry, TRUE)",geoPerimeter(wkb_geometry),Validates geometry then calculates perimeter,TRUE
9,SRC_INV_AREA,double precision,"notNull(superficie);isNumeric(superficie);isGreaterThan(superficie,0)",copyDouble(superficie),Copies source value to SRC_INV_AREA,TRUE
10,STAND_PHOTO_YEAR,integer,notNull(stand_photo_year);isInt(stand_photo_year),copyInt(stand_photo_year),Copies source value to STAND_PHOTO_YEAR. Note that year of photography is unknown in the original inventory. The inventory uses photo_interpretation_year which is always 1-3 years within the original photo_year. ,TRUE
